colour	x	showSelected1	PANEL	group
#FF0000	1	rpart	1	1
#FF0000	1.25527250510331	rpart	1	2
#FF0000	1.51851393987789	rpart	1	3
#FF0000	1.77815125038364	rpart	1	4
#FF0000	2.04139268515822	rpart	1	5
#FF0000	2.30102999566398	rpart	1	6
#0000FF	1	featureless	1	7
#0000FF	1.25527250510331	featureless	1	8
#0000FF	1.51851393987789	featureless	1	9
#0000FF	1.77815125038364	featureless	1	10
#0000FF	2.04139268515822	featureless	1	11
#0000FF	2.30102999566398	featureless	1	12
#FF0000	1	rpart	2	13
#FF0000	1.25527250510331	rpart	2	14
#FF0000	1.51851393987789	rpart	2	15
#FF0000	1.77815125038364	rpart	2	16
#FF0000	2.04139268515822	rpart	2	17
#FF0000	2.30102999566398	rpart	2	18
#0000FF	1	featureless	2	19
#0000FF	1.25527250510331	featureless	2	20
#0000FF	1.51851393987789	featureless	2	21
#0000FF	1.77815125038364	featureless	2	22
#0000FF	2.04139268515822	featureless	2	23
#0000FF	2.30102999566398	featureless	2	24
#FF0000	1	rpart	3	25
#FF0000	1.25527250510331	rpart	3	26
#FF0000	1.51851393987789	rpart	3	27
#FF0000	1.77815125038364	rpart	3	28
#FF0000	2.04139268515822	rpart	3	29
#FF0000	2.30102999566398	rpart	3	30
#0000FF	1	featureless	3	31
#0000FF	1.25527250510331	featureless	3	32
#0000FF	1.51851393987789	featureless	3	33
#0000FF	1.77815125038364	featureless	3	34
#0000FF	2.04139268515822	featureless	3	35
#0000FF	2.30102999566398	featureless	3	36
#FF0000	1	rpart	4	37
#FF0000	1.25527250510331	rpart	4	38
#FF0000	1.51851393987789	rpart	4	39
#FF0000	1.77815125038364	rpart	4	40
#FF0000	2.04139268515822	rpart	4	41
#FF0000	2.30102999566398	rpart	4	42
#0000FF	1	featureless	4	43
#0000FF	1.25527250510331	featureless	4	44
#0000FF	1.51851393987789	featureless	4	45
#0000FF	1.77815125038364	featureless	4	46
#0000FF	2.04139268515822	featureless	4	47
#0000FF	2.30102999566398	featureless	4	48
#FF0000	1	rpart	5	49
#FF0000	1.25527250510331	rpart	5	50
#FF0000	1.51851393987789	rpart	5	51
#FF0000	1.77815125038364	rpart	5	52
#FF0000	2.04139268515822	rpart	5	53
#FF0000	2.30102999566398	rpart	5	54
#0000FF	1	featureless	5	55
#0000FF	1.25527250510331	featureless	5	56
#0000FF	1.51851393987789	featureless	5	57
#0000FF	1.77815125038364	featureless	5	58
#0000FF	2.04139268515822	featureless	5	59
#0000FF	2.30102999566398	featureless	5	60
#FF0000	1	rpart	6	61
#FF0000	1.25527250510331	rpart	6	62
#FF0000	1.51851393987789	rpart	6	63
#FF0000	1.77815125038364	rpart	6	64
#FF0000	2.04139268515822	rpart	6	65
#FF0000	2.30102999566398	rpart	6	66
#0000FF	1	featureless	6	67
#0000FF	1.25527250510331	featureless	6	68
#0000FF	1.51851393987789	featureless	6	69
#0000FF	1.77815125038364	featureless	6	70
#0000FF	2.04139268515822	featureless	6	71
#0000FF	2.30102999566398	featureless	6	72
