group	y	clickSelects
1	-0.521355855441264	13
2	-0.531483688792718	14
3	-0.487789010134223	15
4	-0.492300718082304	16
5	-0.449666939060998	17
6	-0.467609375172822	18
7	-0.521355855441264	13
8	-0.531483688792718	14
9	-0.52559077101252	15
10	-0.530558762083222	16
11	-0.529092424851311	17
12	-0.529310424909481	18
13	-0.158850627640382	13
14	-0.148755016476775	14
15	-0.176553205451738	15
16	-0.381336236266044	16
17	-0.489099224415646	17
18	-0.536779274637556	18
19	-0.158850627640382	13
20	-0.148755016476775	14
21	-0.161834460382368	15
22	-0.159194127920395	16
23	-0.161315600629887	17
24	-0.15577858231659	18
25	-0.569276264141201	31
26	-0.570837893107881	32
27	-0.566361887098633	33
28	-0.510049424686897	34
29	-0.489243209645613	35
30	-0.469834616529179	36
31	-0.569276264141201	31
32	-0.570837893107881	32
33	-0.570751759339794	33
34	-0.570568652361816	34
35	-0.563184916688447	35
36	-0.568238368224343	36
37	-0.0718810744821472	31
38	-0.0884869771173981	32
39	-0.131738336738018	33
40	-0.263368661637202	34
41	-0.426486150911554	35
42	-0.447721181066677	36
43	-0.0718810744821471	31
44	-0.0884869771173981	32
45	-0.0605404962127054	33
46	-0.0655352608397522	34
47	-0.077546913156774	35
48	-0.0852029750279383	36
49	-0.496875276886537	49
50	-0.501279514862636	50
51	-0.481436854485791	51
52	-0.454662666195317	52
53	-0.451049655193918	53
54	-0.399854340058355	54
55	-0.496875276886537	49
56	-0.501279514862636	50
57	-0.497051803356748	51
58	-0.496222967618303	52
59	-0.501054813315454	53
60	-0.501522759171867	54
61	-0.0437884015152607	49
62	-0.065566045349304	50
63	-0.0149957988313921	51
64	-0.140647313148512	52
65	-0.270904448099024	53
66	-0.333080746685074	54
67	-0.0437884015152607	49
68	-0.065566045349304	50
69	-0.0742483640858545	51
70	-0.0664422541281972	52
71	-0.0727548207894901	53
72	-0.07730635457589	54
