group	y	clickSelects
1	-0.522151538400123	1
2	-0.531910940922243	2
3	-0.492715078069528	3
4	-0.482849121807305	4
5	-0.445047873860447	5
6	-0.467609375172822	6
7	-0.522151538400123	1
8	-0.531910940922243	2
9	-0.520090008795214	3
10	-0.525349509333907	4
11	-0.531240195134859	5
12	-0.529310424909481	6
13	-0.0964621235016715	1
14	-0.0557222490806308	2
15	-0.189436305466084	3
16	-0.264284893747434	4
17	-0.522737662317147	5
18	-0.536779274637556	6
19	-0.0964621235016715	1
20	-0.0557222490806309	2
21	-0.158085185100615	3
22	-0.154912164660695	4
23	-0.15052109585825	5
24	-0.15577858231659	6
25	-0.566301015965185	19
26	-0.568088916096936	20
27	-0.560021928629601	21
28	-0.461344951284092	22
29	-0.477988466060199	23
30	-0.469834616529179	24
31	-0.566301015965185	19
32	-0.568088916096936	20
33	-0.569871190870738	21
34	-0.554146861240464	22
35	-0.570947494225002	23
36	-0.568238368224343	24
37	-0.0547770346587207	19
38	-0.0499599492226005	20
39	-0.0254492796287467	21
40	-0.221216674459181	22
41	-0.460640694415069	23
42	-0.447721181066677	24
43	-0.0547770346587207	19
44	-0.0499599492226004	20
45	-0.0014262733888473	21
46	-0.048087539980526	22
47	-0.0739425468290299	23
48	-0.0852029750279383	24
49	-0.500099971024068	37
50	-0.501207614878172	38
51	-0.465650284948405	39
52	-0.471943711147023	40
53	-0.473388613517643	41
54	-0.399854340058355	42
55	-0.500099971024068	37
56	-0.501207614878172	38
57	-0.497676455108849	39
58	-0.494138110092723	40
59	-0.500383521510395	41
60	-0.501522759171867	42
61	-0.0379844045631678	37
62	-0.0398126469063918	38
63	-0.0568350688525943	39
64	-0.210600068377934	40
65	-0.271382735782017	41
66	-0.333080746685074	42
67	-0.0379844045631678	37
68	-0.0398126469063918	38
69	-0.0712001053986964	39
70	-0.0778388274574156	40
71	-0.0805849389133469	41
72	-0.07730635457589	42
